timestamp_utc,open,high,low,close,volume,product_id,source,observations,expected_observations,coverage_ratio,log_close,log_return,simple_return,close_open_log_return,high_low_range,volume_log,return_mean_7,return_volatility_7,close_sma_7,close_ema_7,volume_log_mean_7,return_mean_14,return_volatility_14,close_sma_14,close_ema_14,volume_log_mean_14,return_mean_30,return_volatility_30,close_sma_30,close_ema_30,volume_log_mean_30,log_return_lag_1,volume_log_lag_1,log_return_lag_2,volume_log_lag_2,log_return_lag_3,volume_log_lag_3,log_return_lag_7,volume_log_lag_7,target_log_return_next,target_direction_next,split
2016-05-14 00:00:00+00:00,-1.0577664738218973,-1.05833037066442,-1.0577485526342219,-1.0579553633886907,-1.0054635421225375,BTC-USD,coinbase_exchange_spot,288,288,1.0,-2.4294235611768595,0.00736938469438416,-0.011856256381876637,0.008606499421289632,-1.033138441882749,-1.8707619845103316,-0.1801283573760471,-1.0910332513098975,-1.0587753795785204,-1.0597287648845681,-1.6058719832639379,-0.09085283782979132,-1.1644663228006287,-1.0598245431426183,-1.0619094537312987,-1.702070551829556,0.09388871911684438,-1.2255508974051412,-1.0635032282612242,-1.068201142571404,-1.5970734361175813,0.040383345951246215,-1.1590051892883122,0.07558526552084831,-0.9803605420069736,0.04634895854990299,-1.0700657361300243,-0.06720679500421511,-1.7938003855745288,0.005584725012057312,1.0,train
2016-05-15 00:00:00+00:00,-1.0577140710172792,-1.058122157752729,-1.0576041039683983,-1.0578106899879354,-1.0075611134115852,BTC-USD,coinbase_exchange_spot,288,288,1.0,-2.4250966071409406,0.10018856872835137,0.08190752371259312,0.10140618446122,-0.9694616871555158,-1.8818174096053724,-0.1443713385544227,-1.0785521419979918,-1.0587860403742768,-1.0596730808877297,-1.6063201681624755,-0.09699040846090966,-1.1660575212060935,-1.0598063195034495,-1.0618698715048076,-1.687462148630712,0.07122132106418809,-1.2297064207582948,-1.0634446051644608,-1.0681625597635682,-1.6140390329490186,0.007337579109107875,-1.8710800019363982,0.04049960582466194,-1.159200208594039,0.0756011117479897,-0.9796175746753675,0.004658022220196807,-1.8741601960557803,-0.012670129041940648,0.0,train
2016-05-16 00:00:00+00:00,-1.0575686954947912,-1.0582336807634765,-1.0580107646701746,-1.058137753201316,-0.7788828414236257,BTC-USD,coinbase_exchange_spot,288,288,1.0,-2.434913216889008,-0.37338303080802127,-0.39299202117386123,-0.37553866013595055,-0.7150182664008939,-1.0036571001118164,-0.29614531491194257,-1.040390965923523,-1.0588546894378594,-1.059713507098861,-1.6003180498428249,-0.02504940894937953,-1.2366582559257264,-1.0597688169587012,-1.0618796765221923,-1.7213664941587212,-0.009276403152326501,-1.2158697342753593,-1.0634018567569654,-1.0681481434774889,-1.5881772605119182,0.10015677890526772,-1.8821367565859743,0.007452921655433998,-1.8713422583919785,0.04051541388321996,-1.1584477094233367,0.031977669574065136,-1.032247469242591,-0.0032313046745349183,0.0,train
2016-05-17 00:00:00+00:00,-1.0578977625689505,-1.0584589242827203,-1.0579689963812617,-1.058220504134822,-0.7776570924681366,BTC-USD,coinbase_exchange_spot,288,288,1.0,-2.4374167791543973,-0.12851889000508426,-0.1485237514305627,-0.1275118130538132,-0.9572701538106165,-1.00013771111029,-0.08642823991157489,-1.2946040490580195,-1.0588433017696652,-1.0597646216172572,-1.632205427626289,-0.13332257878579076,-1.2601685026166083,-1.0597607806991123,-1.061899334467627,-1.7180913018359127,0.0008003254838318693,-1.2177884951511577,-1.0633573423622718,-1.0681401418945666,-1.5466328639549978,-0.37341490105119113,-1.0038708372210536,0.10027469804685989,-1.882400057067626,0.007468693763545862,-1.8705518033048865,-0.6889997051062187,-0.8209347520328403,0.0030118187097807336,1.0,train
2016-05-18 00:00:00+00:00,-1.0579794658664732,-1.0584374986796703,-1.0578877802639313,-1.0581433825165205,-0.8210343105031657,BTC-USD,coinbase_exchange_spot,288,288,1.0,-2.4350832710418926,0.03344164490074171,0.014447461042106579,0.03426352557111417,-1.0090296250821216,-1.1302365832762278,-0.09122318574737595,-1.2964025684788159,-1.0588336909007634,-1.0597835772623367,-1.6431042154432125,-0.060446019416998,-1.2730302212588367,-1.0597328567263993,-1.0619059702915814,-1.701364292615375,0.014308731149120318,-1.2179268347705008,-1.0633101405957555,-1.0681275450260301,-1.5436325949968543,-0.12855071866637857,-1.000351024968538,-0.3733101279241238,-1.0040512080776398,0.10029057113285678,-1.8816090126193497,0.04624089441061652,-1.0660118221206516,-0.03844131725094435,0.0,train
2016-05-19 00:00:00+00:00,-1.0579022703370897,-1.0585182567219358,-1.058966794394179,-1.0591104988686513,-0.5797981083750393,BTC-USD,coinbase_exchange_spot,288,288,1.0,-2.4648669779327235,-1.0419450903013376,-1.0488407563139048,-1.047499057572182,-0.10249156224675528,-0.5217948156844918,-0.5095990386606665,-0.8407016411496828,-1.0589798730243924,-1.060040825081602,-1.5596436489150298,-0.33811596463133625,-1.040143680745013,-1.059779937843183,-1.0620421521760088,-1.6385029586545625,-0.21572461698050568,-1.1270070296950836,-1.063307606788037,-1.0681798600251982,-1.522919055126148,0.0334098437429552,-1.1304655431674444,-0.12843914828298347,-1.0005310634693945,-0.3732947700361329,-1.0033069780752772,0.0755056291773239,-0.9756680832671785,0.016447776421520288,1.0,train
2016-05-20 00:00:00+00:00,-1.0588967966827942,-1.059098396127598,-1.0589377886379896,-1.058701247653285,-0.6824301126742943,BTC-USD,coinbase_exchange_spot,288,288,1.0,-2.4521235084843025,0.3820003332381069,0.3686514325317874,0.41288211208527514,-0.6911870354123226,-0.7500857560114176,-0.3817081761818255,-0.7449898772747723,-1.0590794545483893,-1.060130918338876,-1.4851980218210048,-0.4092203754356566,-1.1144220716113962,-1.0598475560678047,-1.0621049825186286,-1.6181235010085517,-0.20240312559328244,-1.1213557260513083,-1.0633024431950346,-1.0682016752449386,-1.5226521602550762,-1.0419770740771148,-0.5219506027664689,0.03352591003688718,-1.1306578676377004,-0.1284235240075715,-0.9997870210845369,0.04040484069299189,-1.1542917582315537,0.001412667148252389,1.0,train
2016-05-21 00:00:00+00:00,-1.0584679952385556,-1.0590357674417592,-1.058567675189012,-1.058665782967497,-0.9513532564807913,BTC-USD,coinbase_exchange_spot,288,288,1.0,-2.4510289969720356,-0.0080439107029312,-0.02739395477808675,0.00014555942922799735,-0.9617954441877219,-1.6114791419496253,-0.38747897572236845,-0.7465595601015381,-1.0591813782169086,-1.0601895761989542,-1.437967569550821,-0.39391585655607025,-1.1124594691477794,-1.0599109938139537,-1.0621546525120746,-1.6001402601087684,-0.28719919841692626,-1.1488983829781314,-1.0633139029163072,-1.0682197324796396,-1.568616409070315,0.3819685912712004,-0.7502689979630591,-1.0418908597625975,-0.5220854686530071,0.03354171050898135,-1.1299068897234767,0.007343906933246317,-1.8655737263716765,-0.008551292038555758,0.0,train
2016-05-22 00:00:00+00:00,-1.058425734912251,-1.059065433661367,-1.0586251065862673,-1.0588796969452674,-0.9651724449665535,BTC-USD,coinbase_exchange_spot,288,288,1.0,-2.4576543988528203,-0.2665312191116471,-0.2865966647663825,-0.2669030916845696,-0.9361618521429148,-1.6733886414310797,-0.5247803333245653,-0.7700984051979295,-1.0593347483013127,-1.0602873250145441,-1.4000005953778787,-0.4641460661934693,-1.1108889349275266,-1.0599934263554947,-1.0622265495009968,-1.5803791885881622,-0.2873051123995604,-1.1488732169095321,-1.0633252858555282,-1.0682508026611852,-1.609193259579176,-0.008075718905633331,-1.6117659773382509,0.38209433330916803,-0.7504254226491497,-1.0418762292025128,-0.521366926575285,0.10020570768227263,-1.876618170113685,0.007183502151002941,1.0,train
2016-05-23 00:00:00+00:00,-1.0586409808408963,-1.0590736742779248,-1.0586309077375051,-1.0587001217902443,-0.8088063517494474,BTC-USD,coinbase_exchange_spot,288,288,1.0,-2.4520887383131864,0.14166441097573698,0.12391402349423064,0.1448972951682163,-0.9408074440714825,-1.09235643114169,-0.3319445079032699,-0.7526902403612421,-1.0594154311419233,-1.0603155103653168,-1.4161578909367738,-0.43574682402518095,-1.1004771286458404,-1.060068472032161,-1.0622646416932957,-1.5857279001966695,-0.32641426518926486,-1.1630089221835582,-1.0633445197595746,-1.0682679663159858,-1.5951994310243431,-0.2665630712096581,-1.6736829222191452,-0.007960804221546767,-1.6120037482543605,0.3821105129778639,-0.7496947104542371,-0.3735833260637149,-0.9993301371987993,0.0029574551612467914,1.0,train
2016-05-24 00:00:00+00:00,-1.058465741354486,-1.058952811901745,-1.0586477310760949,-1.058625814829545,-0.7358254128656433,BTC-USD,coinbase_exchange_spot,287,288,0.9965277777777778,-2.449797350193202,0.03203133328940051,0.01302395294243433,0.039286655550500586,-0.8136176642158055,-0.8849135758730022,-0.2718338611571325,-0.7451751118674151,-1.0594735809369578,-1.0603179764428432,-1.3951688892506147,-0.24912827205264718,-1.17993180700387,-1.0600919720033832,-1.0622876334653386,-1.5914680531622227,-0.39701662629488194,-1.188535921417073,-1.0633780543208204,-1.068279097673155,-1.591429978024795,0.14163262819591946,-1.0925808354660576,-0.2664553319514505,-1.673926539598053,-0.007945048881541482,-1.611227115452879,-0.12860675909128072,-0.9958142440061407,0.010017001218846744,1.0,train
2016-05-25 00:00:00+00:00,-1.0583857284700158,-1.0587374571223707,-1.058278777857365,-1.058372495645343,-0.7665070021983396,BTC-USD,coinbase_exchange_spot,288,288,1.0,-2.442036340697101,0.2151716919364265,0.19852697075503786,0.2176548533331681,-0.9419250596079007,-0.9685124490124715,-0.20379340355848993,-0.718433610823682,-1.0595064517238733,-1.060256168266148,-1.3657095392649208,-0.20538634017275054,-1.1638805992484285,-1.0601036611082395,-1.0622733955952204,-1.5816922420666868,-0.36921417477848295,-1.1817712817325061,-1.063406233333934,-1.0682727212246232,-1.6211151267899577,0.03199953189212037,-0.8851130325733155,0.14175169867772108,-1.092769582700153,-0.26643985781949475,-1.6731466064209066,0.033428137877072904,-1.1257838889707634,0.0076782584937511444,1.0,train
2016-05-26 00:00:00+00:00,-1.0581338569252396,-1.0585962678920153,-1.0581546332208742,-1.058176595476227,-0.7934635384184439,BTC-USD,coinbase_exchange_spot,288,288,1.0,-2.4360873509963303,0.15449949319129258,0.13692693568686704,0.15835120725432797,-0.9223683017369158,-1.046194976267176,0.24416024131274433,-1.2262032519872925,-1.059372464904481,-1.06016058348535,-1.4612332403716752,-0.18492971447836776,-1.1574289619046254,-1.0601097897708556,-1.0622346358916752,-1.58804587100248,-0.3769235245609332,-1.1840248320434836,-1.0634362167252713,-1.0682537721610639,-1.6380263298244195,0.2151399216393294,-0.9687219595334177,0.032115559036793945,-0.8852821898099765,0.14176761688523973,-1.0920206241647537,-1.0424523470875087,-0.5179464865474568,0.03519969546868751,1.0,train
2016-05-27 00:00:00+00:00,-1.0579355151271161,-1.0574008291167116,-1.0578442716296472,-1.0572590170978957,-0.45707062540931515,BTC-USD,coinbase_exchange_spot,288,288,1.0,-2.4088151998980187,0.8684669065273455,0.8710207682809314,0.8742395587861301,-0.13254796718257714,-0.28919583258322656,0.42629527507820597,-0.9486609483494207,-1.0591655485504825,-1.0598583124379979,-1.3772784390616413,0.029490744089092736,-0.9872099094647699,-1.0600558494224026,-1.062077294285791,-1.5046166811186112,0.01944463403512896,-1.317137757271786,-1.063386385173471,-1.0681752297612683,-1.6491939372635718,0.1544677125910788,-1.0464138290934188,0.21526103263155044,-0.9688990114826161,0.03213135797461171,-0.8845442899870051,0.38214686237998774,-0.7460106654981088,0.10462818314615152,1.0,train
2016-05-28 00:00:00+00:00,-1.0570204381948645,-1.0539540538978445,-1.0569288499643077,-1.0543328990546037,-0.2724578953372971,BTC-USD,coinbase_exchange_spot,288,288,1.0,-2.327750986645321,2.669596615127077,2.8152349219540893,2.689370607326944,1.8215804217940255,0.0022813162876499666,1.4288146142514848,0.28249926565282324,-1.0585439110888406,-1.0588962915842648,-1.0833190102558523,0.7188630885724785,-0.1173082385556217,-1.0597946709857624,-1.0615462985625965,-1.324912650886239,0.4158506436590331,-0.7313979775129751,-1.0632490028867867,-1.0679078154585264,-1.6175399384024414,0.8684352471702995,-0.28932364669897037,0.1545871393657354,-1.0465982170412838,0.2152770308075567,-0.9681566550303906,-0.008076465277175144,-1.60654842944173,0.003757861108629079,1.0,train
2016-05-29 00:00:00+00:00,-1.05408250031016,-1.0533772107388055,-1.0557175695858363,-1.0542220015450752,-0.4512895359070221,BTC-USD,coinbase_exchange_spot,288,288,1.0,-2.3248394570256354,0.05279564746353881,0.033990381807842945,0.048745454261230774,1.3559373194354352,-0.279113984905346,1.548371872281853,0.21276759345227933,-1.057875673027567,-1.0581469080022683,-0.8293406830892575,0.7065908944972454,-0.11616972809976364,-1.059535927779301,-1.0610711459973983,-1.1711456426365539,0.36356860130549895,-0.7369964921970856,-1.0631215446803335,-1.0676503035541915,-1.5822662565454853,2.669565261630869,0.0021885559814044755,0.8685744931781939,-0.28943654695320814,0.15460307153652542,-1.0458517193583157,-0.2666824547547186,-1.6683964342213504,0.013859567454436394,1.0,train
2016-05-30 00:00:00+00:00,-1.0539771312299067,-1.0538710983578305,-1.0540938273543503,-1.0538093727405864,-0.7837770872948335,BTC-USD,coinbase_exchange_spot,288,288,1.0,-2.3141012897562376,0.3148564241796905,0.30004946859637355,0.31734678167086006,-0.2755128088837929,-1.0177959318374723,1.6132156558115696,0.191233660623708,-1.0571739988341482,-1.057481178938798,-0.8157588892889023,0.8848075550539528,-0.1507094101477593,-1.0592238530319313,-1.0606036976293753,-1.1725021542787533,0.4704297722158568,-0.7444187879200743,-1.062970802316587,-1.0673820568408652,-1.5660639181206828,0.0527638495923737,-0.2792405865515386,2.6697545057326812,0.0021031815563459346,0.8685912020733231,-0.2887304046530623,0.1417005930204728,-1.087941363188893,-0.0022746722343951475,0.0,train
2016-05-31 00:00:00+00:00,-1.0535635435031379,-1.0536568423273303,-1.0540352357268479,-1.0538774874545607,-0.5731947167149976,BTC-USD,coinbase_exchange_spot,288,288,1.0,-2.3158636687782588,-0.1037017124201363,-0.12361766752099998,-0.10418295522691677,-0.14834441366272513,-0.5082756254683424,1.562396659767834,0.22006700813377597,-1.056492757832596,-1.0569989989987858,-0.7471512615567991,0.891233856948707,-0.15253567079639804,-1.0589107230181507,-1.060207762049931,-1.1253117881667174,0.43197034728684036,-0.7418921211022429,-1.0628280644817698,-1.0671356309184163,-1.4930898188716768,0.31482467081066673,-1.018011369319846,0.05288045313980453,-0.27935253472010485,2.6697731740747774,0.0027937853026838142,0.03201717873959031,-0.880704560894938,0.006565519091685346,1.0,train
2016-06-01 00:00:00+00:00,-1.0536373582064167,-1.0538436296359714,-1.0537811453026282,-1.0536804614224036,-0.8023828842122585,BTC-USD,coinbase_exchange_spot,288,288,1.0,-2.3107768114539797,0.1256325530917064,0.10766908494135959,0.13142162466251614,-0.48970962505684784,-1.0728499000469114,1.5288728475014626,0.23235634848572584,-1.0558195931914651,-1.0565878524722343,-0.7661571662761621,0.9151062979609376,-0.1557286868179354,-1.0585889479372368,-1.0598380458246477,-1.1198059793829167,0.5632434016352125,-0.7816486371680144,-1.0626583377556464,-1.0668920448230907,-1.5133001912547248,-0.10373353686707408,-0.5084297866969028,0.3149485489809433,-1.018193075385962,0.05289627466709613,-0.2786469298800421,0.21524162388836174,-0.9642203952791202,0.005649258528980461,1.0,train
2016-06-02 00:00:00+00:00,-1.0534345086401542,-1.0538601108690868,-1.0533477993051577,-1.0535098931717077,-0.7530382119684523,BTC-USD,coinbase_exchange_spot,288,288,1.0,-2.306399857899571,0.10186271198595304,0.08360178620442077,0.10260233576946645,-0.8258607322259321,-0.9312145584559671,1.509165425761635,0.24009135355784872,-1.0551500629125241,-1.0562366297025285,-0.7452125596766471,1.2112904317897473,-0.3442754056299861,-1.058185146186478,-1.059494621287215,-1.1590866397933766,0.5315168433411795,-0.784002604002782,-1.0624939089911167,-1.0666528689262802,-1.5083711642516833,0.12560076758942118,-1.073071958464481,-0.10362127757628395,-0.5085633758901497,0.3149646556038567,-1.0174480916469915,0.15454156829625335,-1.0418257604845227,0.06021004693296916,1.0,train
2016-06-03 00:00:00+00:00,-1.05325363444357,-1.0518384129402647,-1.053109952104404,-1.0516308277564501,-0.4308107096885623,BTC-USD,coinbase_exchange_spot,288,288,1.0,-2.2597500935840498,1.517291165153108,1.555885828244653,1.5176939516796886,0.4664313625622664,-0.24395780309599888,1.7520878273022467,0.356794834792122,-1.0543425883975839,-1.0555010136943688,-0.7369720892645191,1.5052691326012988,-0.20140136158428384,-1.0576753713357867,-1.058943565189907,-1.1105275739600287,0.8298213700713579,-0.6621945961796658,-1.06225862958803,-1.0663045818129295,-1.4576451082577915,0.10183092244716589,-0.9314195834343748,0.12571939303812368,-1.0732588635869567,-0.10360562630229267,-0.5078455545161445,0.8688367904374827,-0.2855785440010748,0.008818768157232704,1.0,train
2016-06-04 00:00:00+00:00,-1.0513924896731097,-1.050924253876797,-1.0514664859587095,-1.051345984407103,-0.7029473494324723,BTC-USD,coinbase_exchange_spot,288,288,1.0,-2.252917455560264,0.18408685576477551,0.1669487690975214,0.19311209344124716,-0.014610999254864743,-0.8004109235711925,0.8215030167469773,-0.5749168023213888,-1.0539140567136198,-1.0548777221019623,-0.883188927786816,1.5550205720776749,-0.2149219100005675,-1.0571476163689446,-1.0584275676373225,-1.032711846168845,0.8557979730394005,-0.663409133812718,-1.0620161326720474,-1.0659598858031805,-1.4396343847500888,1.517259615976873,-0.24408017676718688,0.1019488880617974,-0.9315931131336537,0.1257352938046023,-1.0725109449385064,2.6707934641993702,0.005609080636664463,-0.0019800610908760063,0.0,train
